"id","device","core_id","reading_mm","reading_reported","date_created"
32,1,400036001751353338363036,536,"2019-03-04 20:59:57.845","2019-03-04 20:59:58.143507"
33,1,400036001751353338363036,369,"2019-03-04 21:50:28.903","2019-03-04 21:50:29.159206"
34,1,400036001751353338363036,431,"2019-03-04 21:55:29.992","2019-03-04 21:55:30.196052"
35,1,400036001751353338363036,370,"2019-03-04 22:00:32.299","2019-03-04 22:00:32.471711"
36,1,400036001751353338363036,426,"2019-03-04 22:05:33.216","2019-03-04 22:05:33.580018"
37,1,400036001751353338363036,370,"2019-03-04 22:15:34.836","2019-03-04 22:15:35.028071"
38,1,400036001751353338363036,363,"2019-03-04 22:45:54.075","2019-03-04 22:45:54.294724"
39,1,400036001751353338363036,360,"2019-03-04 23:16:15.499","2019-03-04 23:16:15.706098"
40,1,400036001751353338363036,364,"2019-03-04 23:46:40.177","2019-03-04 23:46:40.337704"
41,1,400036001751353338363036,356,"2019-03-05 00:17:02.213","2019-03-05 00:17:14.539559"
42,1,400036001751353338363036,369,"2019-03-05 00:47:24.704","2019-03-05 00:47:24.861632"
43,1,400036001751353338363036,361,"2019-03-05 01:17:45.149","2019-03-05 01:17:45.385822"
44,1,400036001751353338363036,358,"2019-03-05 01:48:06.478","2019-03-05 01:48:06.581185"
45,1,400036001751353338363036,358,"2019-03-05 02:18:29.9","2019-03-05 02:18:30.154107"
46,1,400036001751353338363036,362,"2019-03-05 02:48:51.931","2019-03-05 02:48:52.221512"
47,1,400036001751353338363036,362,"2019-03-05 03:19:13.307","2019-03-05 03:19:13.483568"
48,1,400036001751353338363036,362,"2019-03-05 03:49:34.705","2019-03-05 03:49:34.946264"
49,1,400036001751353338363036,362,"2019-03-05 04:19:56.184","2019-03-05 04:19:56.282642"
50,1,400036001751353338363036,358,"2019-03-05 04:50:19.046","2019-03-05 04:50:19.231811"
51,1,400036001751353338363036,367,"2019-03-05 05:20:41.714","2019-03-05 05:20:41.902982"
52,1,400036001751353338363036,363,"2019-03-05 05:51:05.121","2019-03-05 05:51:05.27535"
53,1,400036001751353338363036,363,"2019-03-05 06:21:29.136","2019-03-05 06:21:29.434295"
54,1,400036001751353338363036,363,"2019-03-05 06:51:50.757","2019-03-05 06:51:50.929293"
55,1,400036001751353338363036,363,"2019-03-05 07:22:11.986","2019-03-05 07:22:12.32337"
56,1,400036001751353338363036,363,"2019-03-05 07:52:33.427","2019-03-05 07:52:33.620253"
57,1,400036001751353338363036,363,"2019-03-05 08:22:57.433","2019-03-05 08:22:57.66416"
58,1,400036001751353338363036,367,"2019-03-05 08:53:19.022","2019-03-05 08:53:19.216613"
59,1,400036001751353338363036,359,"2019-03-05 09:23:40.796","2019-03-05 09:23:40.907112"
60,1,400036001751353338363036,359,"2019-03-05 09:54:05.589","2019-03-05 09:54:05.69731"
61,1,400036001751353338363036,360,"2019-03-05 10:24:27.657","2019-03-05 10:24:27.794334"
62,1,400036001751353338363036,359,"2019-03-05 10:54:47.684","2019-03-05 10:54:47.91698"
63,1,400036001751353338363036,368,"2019-03-05 11:25:10.137","2019-03-05 11:25:10.312374"
64,1,400036001751353338363036,368,"2019-03-05 11:55:33.959","2019-03-05 11:55:34.138947"
65,1,400036001751353338363036,359,"2019-03-05 12:25:57.976","2019-03-05 12:25:58.178699"
66,1,400036001751353338363036,363,"2019-03-05 12:56:19.963","2019-03-05 12:56:20.147816"
67,1,400036001751353338363036,372,"2019-03-05 13:26:39.978","2019-03-05 13:26:40.154918"
68,1,400036001751353338363036,362,"2019-03-05 13:57:00.465","2019-03-05 13:57:09.818859"
69,1,400036001751353338363036,362,"2019-03-05 14:27:23.729","2019-03-05 14:27:24.014531"
70,1,400036001751353338363036,361,"2019-03-05 14:57:47.725","2019-03-05 14:57:47.848871"
71,1,400036001751353338363036,362,"2019-03-05 15:28:11.032","2019-03-05 15:28:11.204977"
72,1,400036001751353338363036,361,"2019-03-05 15:58:32.542","2019-03-05 15:58:32.802879"
73,1,400036001751353338363036,359,"2019-03-05 16:28:55.823","2019-03-05 16:28:55.975615"
74,1,400036001751353338363036,363,"2019-03-05 16:59:20.557","2019-03-05 16:59:20.724044"
75,1,400036001751353338363036,364,"2019-03-05 17:29:42.57","2019-03-05 17:29:42.758768"
76,1,400036001751353338363036,355,"2019-03-05 18:00:07.823","2019-03-05 18:00:08.046729"
77,1,400036001751353338363036,357,"2019-03-05 18:30:34.458","2019-03-05 18:30:34.719355"
78,1,400036001751353338363036,357,"2019-03-05 19:00:55.101","2019-03-05 19:00:56.358674"
79,1,400036001751353338363036,365,"2019-03-05 19:31:15.593","2019-03-05 19:31:15.860501"
80,1,400036001751353338363036,371,"2019-03-05 20:01:39.165","2019-03-05 20:01:39.337855"
81,1,400036001751353338363036,355,"2019-03-05 20:32:01.447","2019-03-05 20:32:13.880966"
82,1,400036001751353338363036,362,"2019-03-05 21:02:21.398","2019-03-05 21:02:21.887005"
83,1,400036001751353338363036,364,"2019-03-05 22:03:10.937","2019-03-05 22:03:21.295668"
84,1,400036001751353338363036,360,"2019-03-05 22:33:33.573","2019-03-05 22:33:33.783384"
85,1,400036001751353338363036,365,"2019-03-05 23:03:57.635","2019-03-05 23:03:57.904003"
86,1,400036001751353338363036,362,"2019-03-05 23:34:20.377","2019-03-05 23:34:20.554481"
87,1,400036001751353338363036,372,"2019-03-06 00:04:42.138","2019-03-06 00:04:42.299506"
88,1,400036001751353338363036,368,"2019-03-06 00:35:05.75","2019-03-06 00:35:05.923605"
89,1,400036001751353338363036,363,"2019-03-06 01:05:27.728","2019-03-06 01:05:27.901048"
90,1,400036001751353338363036,363,"2019-03-06 01:35:49.912","2019-03-06 01:35:50.03087"
91,1,400036001751353338363036,359,"2019-03-06 02:06:12.66","2019-03-06 02:06:12.755873"
92,1,400036001751353338363036,359,"2019-03-06 02:36:34.248","2019-03-06 02:36:34.397328"
93,1,400036001751353338363036,359,"2019-03-06 03:06:54.642","2019-03-06 03:06:54.75939"
94,1,400036001751353338363036,364,"2019-03-06 03:37:18.208","2019-03-06 03:37:18.302228"
95,1,400036001751353338363036,373,"2019-03-06 04:07:40.948","2019-03-06 04:07:41.118004"
96,1,400036001751353338363036,369,"2019-03-06 04:38:02.884","2019-03-06 04:38:03.103682"
97,1,400036001751353338363036,378,"2019-03-06 05:08:25.247","2019-03-06 05:08:25.37975"
98,1,400036001751353338363036,371,"2019-03-06 06:09:09.278","2019-03-06 06:09:18.653943"
99,1,400036001751353338363036,371,"2019-03-06 06:39:30.046","2019-03-06 06:39:30.389664"
100,1,400036001751353338363036,368,"2019-03-06 07:09:51.39","2019-03-06 07:09:51.623674"
101,1,400036001751353338363036,376,"2019-03-06 07:40:13.607","2019-03-06 07:40:13.75086"
102,1,400036001751353338363036,558,"2019-03-06 07:50:16.756","2019-03-06 07:50:16.845142"
103,1,400036001751353338363036,372,"2019-03-06 07:55:18.805","2019-03-06 07:55:19.052723"
104,1,400036001751353338363036,372,"2019-03-06 08:25:39.247","2019-03-06 08:25:39.475831"
105,1,400036001751353338363036,368,"2019-03-06 08:56:01.459","2019-03-06 08:56:01.6831"
106,1,400036001751353338363036,559,"2019-03-06 09:06:05.859","2019-03-06 09:06:06.107301"
107,1,400036001751353338363036,373,"2019-03-06 09:16:08.288","2019-03-06 09:16:08.436619"
108,1,400036001751353338363036,368,"2019-03-06 09:46:27.918","2019-03-06 09:46:28.021139"
109,1,400036001751353338363036,386,"2019-03-06 10:16:48.034","2019-03-06 10:16:48.204267"
110,1,400036001751353338363036,373,"2019-03-06 10:47:12.517","2019-03-06 10:47:12.664238"
111,1,400036001751353338363036,369,"2019-03-06 11:17:39.322","2019-03-06 11:17:51.810998"
112,1,400036001751353338363036,369,"2019-03-06 11:48:08.684","2019-03-06 11:48:08.970789"
113,1,400036001751353338363036,369,"2019-03-06 12:18:30.253","2019-03-06 12:18:30.418899"
114,1,400036001751353338363036,382,"2019-03-06 12:48:52.797","2019-03-06 12:48:52.989013"
115,1,400036001751353338363036,373,"2019-03-06 13:19:13.345","2019-03-06 13:19:13.661834"
116,1,400036001751353338363036,369,"2019-03-06 13:49:35.996","2019-03-06 13:49:36.140367"
117,1,400036001751353338363036,377,"2019-03-06 14:20:04.341","2019-03-06 14:20:04.518916"
118,1,400036001751353338363036,372,"2019-03-06 14:50:17.791","2019-03-06 14:50:30.13246"
119,1,400036001751353338363036,368,"2019-03-06 15:20:47.38","2019-03-06 15:20:47.547129"
120,1,400036001751353338363036,372,"2019-03-06 15:51:10.196","2019-03-06 15:51:10.332372"
121,1,400036001751353338363036,369,"2019-03-06 16:21:33.957","2019-03-06 16:21:34.089589"
122,1,400036001751353338363036,363,"2019-03-06 16:51:54.744","2019-03-06 16:51:54.965144"
123,1,400036001751353338363036,367,"2019-03-06 17:22:17.084","2019-03-06 17:22:27.655688"
124,1,400036001751353338363036,370,"2019-03-06 17:52:36.754","2019-03-06 17:52:37.376659"
125,1,400036001751353338363036,541,"2019-03-06 18:22:56.707","2019-03-06 18:22:57.060811"
126,1,400036001751353338363036,378,"2019-03-06 18:27:59.609","2019-03-06 18:27:59.749616"
127,1,400036001751353338363036,360,"2019-03-06 18:58:21.059","2019-03-06 18:58:21.35138"
128,1,400036001751353338363036,369,"2019-03-06 19:28:43.743","2019-03-06 19:28:43.989508"
129,1,400036001751353338363036,360,"2019-03-06 19:59:04.418","2019-03-06 19:59:04.588695"
130,1,400036001751353338363036,359,"2019-03-06 20:29:25.891","2019-03-06 20:29:26.186568"
131,1,400036001751353338363036,368,"2019-03-06 20:59:45.997","2019-03-06 20:59:46.097372"
132,1,400036001751353338363036,368,"2019-03-06 21:30:08.166","2019-03-06 21:30:08.320521"
133,1,400036001751353338363036,383,"2019-03-06 22:00:29.58","2019-03-06 22:00:29.738946"
134,1,400036001751353338363036,374,"2019-03-06 22:30:50.178","2019-03-06 22:30:50.342491"
135,1,400036001751353338363036,367,"2019-03-06 23:01:13.77","2019-03-06 23:01:13.897349"
136,1,400036001751353338363036,369,"2019-03-06 23:31:34.343","2019-03-06 23:31:34.537197"
137,1,400036001751353338363036,379,"2019-03-07 00:01:55.676","2019-03-07 00:01:55.917284"
138,1,400036001751353338363036,366,"2019-03-07 00:32:16.262","2019-03-07 00:32:16.427367"
139,1,400036001751353338363036,371,"2019-03-07 01:02:39.504","2019-03-07 01:02:39.69663"
140,1,400036001751353338363036,372,"2019-03-07 01:33:04.734","2019-03-07 01:33:13.104481"
141,1,400036001751353338363036,367,"2019-03-07 02:03:27.519","2019-03-07 02:03:27.755357"
142,1,400036001751353338363036,372,"2019-03-07 02:33:51.537","2019-03-07 02:33:51.801509"
143,1,400036001751353338363036,372,"2019-03-07 03:04:13.42","2019-03-07 03:04:13.669884"
144,1,400036001751353338363036,368,"2019-03-07 03:34:36.985","2019-03-07 03:34:37.20256"
145,1,400036001751353338363036,377,"2019-03-07 04:04:58.767","2019-03-07 04:04:59.006882"
146,1,400036001751353338363036,373,"2019-03-07 05:05:45.179","2019-03-07 05:05:53.497991"
147,1,400036001751353338363036,373,"2019-03-07 05:36:07.188","2019-03-07 05:36:07.661457"
148,1,400036001751353338363036,368,"2019-03-07 06:06:30.585","2019-03-07 06:06:30.840778"
149,1,400036001751353338363036,369,"2019-03-07 06:36:52.155","2019-03-07 06:36:52.250374"
150,1,400036001751353338363036,373,"2019-03-07 07:07:14.032","2019-03-07 07:07:14.16014"
151,1,400036001751353338363036,373,"2019-03-07 07:37:37.446","2019-03-07 07:37:37.569056"
152,1,400036001751353338363036,373,"2019-03-07 08:08:01.438","2019-03-07 08:08:01.694043"
153,1,400036001751353338363036,373,"2019-03-07 08:38:25.447","2019-03-07 08:38:25.560292"
154,1,400036001751353338363036,373,"2019-03-07 09:08:47.059","2019-03-07 09:08:47.293053"
155,1,400036001751353338363036,382,"2019-03-07 09:39:09.615","2019-03-07 09:39:09.755638"
156,1,400036001751353338363036,382,"2019-03-07 10:09:31.462","2019-03-07 10:09:31.733499"
157,1,400036001751353338363036,373,"2019-03-07 10:39:53.02","2019-03-07 10:39:53.333064"
158,1,400036001751353338363036,374,"2019-03-07 11:10:14.552","2019-03-07 11:10:14.768527"
159,1,400036001751353338363036,373,"2019-03-07 11:40:35.689","2019-03-07 11:40:35.808064"
160,1,400036001751353338363036,373,"2019-03-07 12:11:00.148","2019-03-07 12:11:00.436696"
161,1,400036001751353338363036,369,"2019-03-07 12:41:19.974","2019-03-07 12:41:20.113627"
162,1,400036001751353338363036,373,"2019-03-07 13:11:41.498","2019-03-07 13:11:41.677355"
163,1,400036001751353338363036,372,"2019-03-07 13:42:02.985","2019-03-07 13:42:03.183615"
164,1,400036001751353338363036,375,"2019-03-07 14:12:24.178","2019-03-07 14:12:24.359977"
165,1,400036001751353338363036,366,"2019-03-07 14:42:44.188","2019-03-07 14:42:44.368037"
166,1,400036001751353338363036,369,"2019-03-07 15:13:04.673","2019-03-07 15:13:04.827622"
167,1,400036001751353338363036,373,"2019-03-07 15:43:26.234","2019-03-07 15:43:36.537248"
168,1,400036001751353338363036,368,"2019-03-07 16:13:47.51","2019-03-07 16:13:47.782363"
169,1,400036001751353338363036,362,"2019-03-07 16:44:07.683","2019-03-07 16:44:07.871316"
170,1,400036001751353338363036,363,"2019-03-07 17:14:32.435","2019-03-07 17:14:32.654689"
171,1,400036001751353338363036,365,"2019-03-07 17:44:59.04","2019-03-07 17:44:59.181241"
172,1,400036001751353338363036,369,"2019-03-07 18:15:21.087","2019-03-07 18:15:21.263055"
173,1,400036001751353338363036,361,"2019-03-07 18:45:44.469","2019-03-07 18:45:44.661158"
174,1,400036001751353338363036,361,"2019-03-07 19:16:07.592","2019-03-07 19:16:07.827741"
175,1,400036001751353338363036,361,"2019-03-07 19:46:30.429","2019-03-07 19:46:30.56959"
176,1,400036001751353338363036,360,"2019-03-07 20:16:53.986","2019-03-07 20:16:54.185958"
177,1,400036001751353338363036,364,"2019-03-07 20:47:16.866","2019-03-07 20:47:17.018591"
178,1,400036001751353338363036,372,"2019-03-07 21:17:37.834","2019-03-07 21:17:38.069738"
179,1,400036001751353338363036,377,"2019-03-07 21:47:58.314","2019-03-07 21:47:58.457154"
180,1,400036001751353338363036,373,"2019-03-07 22:18:17.806","2019-03-07 22:18:18.031013"
181,1,400036001751353338363036,367,"2019-03-07 22:48:37.866","2019-03-07 22:48:38.028787"
182,1,400036001751353338363036,373,"2019-03-07 23:18:58.167","2019-03-07 23:19:08.472959"
183,1,400036001751353338363036,378,"2019-03-07 23:49:21.526","2019-03-07 23:49:21.916934"
184,1,400036001751353338363036,369,"2019-03-08 00:19:43.468","2019-03-08 00:19:43.58208"
185,1,400036001751353338363036,368,"2019-03-08 00:50:05.785","2019-03-08 00:50:06.084002"
186,1,400036001751353338363036,368,"2019-03-08 01:50:49.776","2019-03-08 01:50:58.122648"
187,1,400036001751353338363036,364,"2019-03-08 02:21:10.419","2019-03-08 02:21:10.605658"
188,1,400036001751353338363036,364,"2019-03-08 02:51:31.938","2019-03-08 02:51:32.114968"
189,1,400036001751353338363036,364,"2019-03-08 03:21:54.034","2019-03-08 03:21:54.240353"
190,1,400036001751353338363036,364,"2019-03-08 03:52:15.653","2019-03-08 03:52:15.749677"
191,1,400036001751353338363036,368,"2019-03-08 04:22:38.217","2019-03-08 04:22:38.329932"
192,1,400036001751353338363036,368,"2019-03-08 04:53:02.193","2019-03-08 04:53:02.441411"
193,1,400036001751353338363036,368,"2019-03-08 05:23:26.242","2019-03-08 05:23:26.390774"
194,1,400036001751353338363036,364,"2019-03-08 05:53:46.838","2019-03-08 05:53:47.00467"
195,1,400036001751353338363036,364,"2019-03-08 06:54:30.652","2019-03-08 06:54:39.050835"
196,1,400036001751353338363036,368,"2019-03-08 07:55:18.565","2019-03-08 07:55:30.92568"
197,1,400036001751353338363036,368,"2019-03-08 08:25:40.18","2019-03-08 08:25:40.600849"
198,1,400036001751353338363036,369,"2019-03-08 08:56:02.748","2019-03-08 08:56:03.018808"
199,1,400036001751353338363036,368,"2019-03-08 09:26:26.699","2019-03-08 09:26:26.868191"
200,1,400036001751353338363036,368,"2019-03-08 09:56:51.996","2019-03-08 09:56:52.201238"
201,1,400036001751353338363036,364,"2019-03-08 10:27:14.688","2019-03-08 10:27:14.78184"
202,1,400036001751353338363036,364,"2019-03-08 10:57:35.523","2019-03-08 10:57:35.72484"
203,1,400036001751353338363036,364,"2019-03-08 11:27:57.371","2019-03-08 11:27:57.468047"
204,1,400036001751353338363036,364,"2019-03-08 11:58:19.561","2019-03-08 11:58:19.806282"
205,1,400036001751353338363036,368,"2019-03-08 12:28:40.995","2019-03-08 12:28:41.245805"
206,1,400036001751353338363036,364,"2019-03-08 12:59:02.421","2019-03-08 12:59:02.566184"
207,1,400036001751353338363036,364,"2019-03-08 13:29:25.899","2019-03-08 13:29:26.004887"
208,1,400036001751353338363036,368,"2019-03-08 13:59:49.894","2019-03-08 13:59:50.03393"
209,1,400036001751353338363036,363,"2019-03-08 14:30:10.534","2019-03-08 14:30:10.62483"
210,1,400036001751353338363036,367,"2019-03-08 15:00:34.12","2019-03-08 15:00:34.300138"
211,1,400036001751353338363036,358,"2019-03-08 15:30:54.913","2019-03-08 15:30:55.336786"
212,1,400036001751353338363036,362,"2019-03-08 16:01:16.234","2019-03-08 16:01:16.401503"
213,1,400036001751353338363036,365,"2019-03-08 16:31:38.408","2019-03-08 16:31:38.713927"
214,1,400036001751353338363036,360,"2019-03-08 17:02:01.203","2019-03-08 17:02:01.339988"
215,1,400036001751353338363036,373,"2019-03-08 17:32:22.256","2019-03-08 17:32:22.726975"
216,1,400036001751353338363036,363,"2019-03-09 00:07:12.06","2019-03-09 00:07:23.006354"
217,1,400036001751353338363036,363,"2019-03-09 01:07:58.274","2019-03-09 01:08:09.206683"
218,1,400036001751353338363036,367,"2019-03-09 03:55:00.262","2019-03-09 03:55:08.705709"
219,1,400036001751353338363036,368,"2019-03-09 05:14:04.774","2019-03-09 05:14:15.600947"
220,1,400036001751353338363036,359,"2019-03-09 10:17:44.334","2019-03-09 10:17:55.159371"
221,1,400036001751353338363036,360,"2019-03-09 21:25:44.532","2019-03-09 21:25:57.505335"
222,1,400036001751353338363036,356,"2019-03-09 22:56:51.407","2019-03-09 22:56:54.091181"
223,1,400036001751353338363036,358,"2019-03-10 05:06:35.076","2019-03-10 05:06:47.931575"
224,1,400036001751353338363036,363,"2019-03-10 06:37:42","2019-03-10 06:37:53.817105"
225,1,400036001751353338363036,359,"2019-03-10 10:10:20.312","2019-03-10 10:10:35.215933"
226,1,400036001751353338363036,366,"2019-03-10 10:40:41.692","2019-03-10 10:40:44.331988"
227,1,400036001751353338363036,367,"2019-03-10 11:41:23.267","2019-03-10 11:41:38.237504"
228,1,400036001751353338363036,363,"2019-03-10 19:47:16.009","2019-03-10 19:47:24.365306"
229,1,400036001751353338363036,367,"2019-03-10 20:17:39.982","2019-03-10 20:17:40.195775"
230,1,400036001751353338363036,370,"2019-03-10 20:48:02.098","2019-03-10 20:48:02.285529"
231,1,400036001751353338363036,374,"2019-03-10 21:48:49.5","2019-03-10 21:48:57.891198"
232,1,400036001751353338363036,362,"2019-03-10 22:19:11.437","2019-03-10 22:19:11.564407"
233,1,400036001751353338363036,372,"2019-03-10 22:49:33.427","2019-03-10 22:49:33.676852"
234,1,400036001751353338363036,360,"2019-03-10 23:19:58.867","2019-03-10 23:19:59.151378"
235,1,400036001751353338363036,366,"2019-03-10 23:50:21.641","2019-03-10 23:50:21.88778"
236,1,400036001751353338363036,358,"2019-03-11 00:20:42.26","2019-03-11 00:20:42.43473"
237,1,400036001751353338363036,366,"2019-03-11 00:51:02.438","2019-03-11 00:51:02.590185"
238,1,400036001751353338363036,362,"2019-03-11 01:21:24.634","2019-03-11 01:21:24.961679"
239,1,400036001751353338363036,362,"2019-03-11 01:51:45.358","2019-03-11 01:51:45.600219"
240,1,400036001751353338363036,362,"2019-03-11 02:22:07.515","2019-03-11 02:22:07.881698"
241,1,400036001751353338363036,362,"2019-03-11 02:52:31.541","2019-03-11 02:52:31.736788"
242,1,400036001751353338363036,362,"2019-03-11 03:22:55.495","2019-03-11 03:22:55.683387"
243,1,400036001751353338363036,362,"2019-03-11 03:53:19.59","2019-03-11 03:53:19.776412"
244,1,400036001751353338363036,362,"2019-03-11 04:23:40.08","2019-03-11 04:23:40.208614"
245,1,400036001751353338363036,362,"2019-03-11 04:54:03.713","2019-03-11 04:54:03.859657"
246,1,400036001751353338363036,362,"2019-03-11 05:24:25.465","2019-03-11 05:24:25.565855"
247,1,400036001751353338363036,362,"2019-03-11 05:54:45.826","2019-03-11 05:54:45.997166"
248,1,400036001751353338363036,366,"2019-03-11 06:25:09.33","2019-03-11 06:25:09.62807"
249,1,400036001751353338363036,367,"2019-03-11 06:55:29.992","2019-03-11 06:55:30.221306"
250,1,400036001751353338363036,367,"2019-03-11 07:25:51.431","2019-03-11 07:25:51.718898"
251,1,400036001751353338363036,366,"2019-03-11 07:40:55.441","2019-03-11 07:40:55.577901"
252,1,400036001751353338363036,358,"2019-03-11 07:59:16.674","2019-03-11 07:59:16.843154"
253,1,400036001751353338363036,367,"2019-03-11 08:29:39.32","2019-03-11 08:29:39.431646"
254,1,400036001751353338363036,359,"2019-03-11 09:00:03.428","2019-03-11 09:00:03.572775"
255,1,400036001751353338363036,367,"2019-03-11 09:30:24.834","2019-03-11 09:30:25.03986"
256,1,400036001751353338363036,358,"2019-03-11 10:00:48.797","2019-03-11 10:00:49.000636"
257,1,400036001751353338363036,358,"2019-03-11 10:31:10.809","2019-03-11 10:31:11.003618"
258,1,400036001751353338363036,367,"2019-03-11 11:01:30.93","2019-03-11 11:01:31.130812"
259,1,400036001751353338363036,358,"2019-03-11 11:31:55.643","2019-03-11 11:31:56.867973"
260,1,400036001751353338363036,367,"2019-03-11 12:02:17.617","2019-03-11 12:02:17.832643"
261,1,400036001751353338363036,362,"2019-03-11 12:32:41.162","2019-03-11 12:32:41.406066"
262,1,400036001751353338363036,371,"2019-03-11 13:03:03.869","2019-03-11 13:03:12.23242"
263,1,400036001751353338363036,357,"2019-03-11 13:33:25.676","2019-03-11 13:33:25.994421"
264,1,400036001751353338363036,357,"2019-03-11 14:03:48.071","2019-03-11 14:03:48.271102"
265,1,400036001751353338363036,361,"2019-03-11 14:34:11.173","2019-03-11 14:34:20.655906"
266,1,400036001751353338363036,370,"2019-03-11 15:04:35.274","2019-03-11 15:04:35.783658"
267,1,400036001751353338363036,361,"2019-03-11 15:34:55.296","2019-03-11 15:34:55.586377"
268,1,400036001751353338363036,360,"2019-03-11 16:35:40.282","2019-03-11 16:35:50.905045"
269,1,400036001751353338363036,363,"2019-03-11 17:36:22.464","2019-03-11 17:36:28.96402"
270,1,400036001751353338363036,375,"2019-03-11 18:06:43.874","2019-03-11 18:06:44.164538"
271,1,400036001751353338363036,362,"2019-03-11 18:37:04.205","2019-03-11 18:37:04.360337"
272,1,400036001751353338363036,367,"2019-03-11 19:07:27.552","2019-03-11 19:07:27.721631"
273,1,400036001751353338363036,379,"2019-03-11 19:37:50.744","2019-03-11 19:37:50.99282"
274,1,400036001751353338363036,365,"2019-03-11 20:08:10.921","2019-03-11 20:08:11.332628"
275,1,400036001751353338363036,365,"2019-03-11 20:38:32.564","2019-03-11 20:38:32.817682"
276,1,400036001751353338363036,541,"2019-03-11 21:08:55.863","2019-03-11 21:08:56.15462"
277,1,400036001751353338363036,365,"2019-03-11 21:13:59.766","2019-03-11 21:13:59.990728"
278,1,400036001751353338363036,359,"2019-03-11 22:15:17.083","2019-03-11 22:15:31.530236"
279,1,400036001751353338363036,363,"2019-03-11 22:45:40.646","2019-03-11 22:45:40.804511"
280,2,400036001751353338363037,666,"2019-11-03 20:56:35.450686","2019-03-11 23:12:41.427687"
281,1,400036001751353338363036,360,"2019-03-11 23:16:02.729","2019-03-11 23:16:02.870579"
282,1,400036001751353338363036,370,"2019-03-11 23:46:24.007","2019-03-11 23:46:24.264782"
283,1,400036001751353338363036,362,"2019-03-12 00:16:47.511","2019-03-12 00:16:47.697365"
284,1,400036001751353338363036,357,"2019-03-12 00:47:09.525","2019-03-12 00:47:09.650961"
285,1,400036001751353338363036,358,"2019-03-12 01:17:30.896","2019-03-12 01:17:31.015997"
286,1,400036001751353338363036,366,"2019-03-12 01:47:53.117","2019-03-12 01:47:53.570472"
287,1,400036001751353338363036,366,"2019-03-12 02:48:37.302","2019-03-12 02:48:47.606234"
288,1,400036001751353338363036,370,"2019-03-12 03:18:59.268","2019-03-12 03:18:59.640228"
289,1,400036001751353338363036,362,"2019-03-12 03:49:19.443","2019-03-12 03:49:19.66541"
290,1,400036001751353338363036,362,"2019-03-12 04:19:41.831","2019-03-12 04:19:42.137759"
